bacteria,eps,adesao,estresse,manosidase,fosfolipase,acido_folico,bacteriocina,sais_biliares,betagalactosidase,tolerancia_gastro,metabolismo_carbono,total_funcoes
Levilactobacillus hammesii,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus huananensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus humaensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus koreensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus lanxiensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus lindianensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus mulengensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus namurensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus parabrevis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus paucivorans,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus senmaizukei,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus spicheri,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus suantsaii,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus suantsaiihabitans,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus tangyuanensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus tongjiangensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus tujiorum,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus wangkuiensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus yiduensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus yonginensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus zymae,1,1,1,0,0,1,0,0,0,1,1,6
Ligilactobacillus acidipiscis,1,1,1,0,0,1,0,0,0,1,1,6
Ligilactobacillus agilis,1,1,1,0,0,1,0,0,0,1,1,6
Ligilactobacillus animalis,1,1,1,0,0,1,0,0,0,1,1,6
Ligilactobacillus apodemi,1,1,1,0,0,1,1,0,0,1,1,7
Ligilactobacillus araffinosus,1,1,1,0,0,1,0,0,0,1,1,6
Ligilactobacillus aviarius,1,1,1,0,0,1,0,0,0,1,1,6
Ligilactobacillus hayakitensis,1,1,1,0,0,1,0,0,0,1,1,6
Ligilactobacillus murinus,1,1,1,0,0,1,1,0,0,1,1,7
Ligilactobacillus pabuli,1,1,1,0,0,1,0,0,0,1,1,6
Ligilactobacillus pobuzihii,1,1,1,0,0,1,0,0,0,1,1,6
Ligilactobacillus salitolerans,1,1,1,0,0,1,0,0,0,1,1,6
Ligilactobacillus salivarius,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus agrestimuris,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus agrestis,1,1,1,0,0,1,1,0,0,1,1,7
Limosilactobacillus albertensis,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus alvi,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus antri,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus avistercoris,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus balticus,1,1,1,0,0,1,1,0,0,1,1,7
Limosilactobacillus caecicola,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus caviae,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus equigenerosi,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus fastidiosus,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus fermentum,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus frumenti,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus gastricus,1,1,1,0,0,1,1,0,0,1,1,7
Limosilactobacillus gorillae,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus ingluviei,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus mucosae,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus oris,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus panis,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus pontis,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus portuensis,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus reuteri,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus rudii,1,1,1,0,0,1,1,0,0,1,1,7
Limosilactobacillus secaliphilus,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus urinaemulieris,1,1,1,0,0,1,0,0,0,1,1,6
Limosilactobacillus vaginalis,1,1,1,0,0,1,0,0,0,1,1,6
Bacteroides coprosuis,1,1,1,0,0,0,0,0,0,0,1,4
Bacteroides propionicifaciens,1,1,1,0,0,0,0,0,0,0,1,4
Bifidobacterium actinocoloniiforme,0,1,1,0,1,0,0,1,1,0,0,5
Bifidobacterium adolescentis,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium aemilianum,1,1,1,1,1,0,1,1,1,0,0,8
Bifidobacterium aerophilum,0,1,1,1,1,0,0,1,1,0,0,6
Bifidobacterium aesculapii,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium amazonense,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium angulatum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium animalis,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium anseris,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium apousia,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium apri,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium aquikefiri,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium asteroides,0,1,1,1,1,0,0,1,1,0,0,6
Bifidobacterium avesanii,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium biavatii,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium bifidum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium bohemicum,0,1,1,1,1,0,1,1,1,0,0,7
Bifidobacterium bombi,1,1,1,1,1,0,0,1,0,0,0,6
Bifidobacterium boum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium breve,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium callimiconis,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium callitrichidarum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium callitrichos,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium canis,0,1,1,0,1,0,0,1,1,0,0,5
Bifidobacterium castoris,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium catenulatum,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium catulorum,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium cebidarum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium choerinum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium choladohabitans,0,1,1,1,1,0,0,1,1,0,0,6
Bifidobacterium choloepi,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium colobi,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium commune,0,1,1,0,1,0,0,1,0,0,0,4
Bifidobacterium coryneforme,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium criceti,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium cuniculi,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium dentium,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium dolichotidis,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium eulemuris,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium felsineum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium gallicum,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium goeldii,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium hapali,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium imperatoris,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium indicum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium italicum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium jacchi,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium lemurum,0,1,1,1,1,0,0,1,1,0,0,6
Bifidobacterium leontopitheci,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium longum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium margollesii,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium merycicum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium miconis,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium miconisargentati,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium minimum,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium mizhiense,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium mongoliense,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium moukalabense,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium myosotis,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium parmae,0,1,1,1,1,0,0,1,1,0,0,6
Bifidobacterium phasiani,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium platyrrhinorum,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium pluvialisilvae,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium polysaccharolyticum,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium pongonis,0,1,1,0,1,0,0,1,1,0,0,5
Bifidobacterium porcinum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium primatium,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium pseudocatenulatum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium pseudolongum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium psychraerophilum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium ramosum,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium reuteri,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium rousetti,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium ruminantium,0,1,1,0,1,0,0,1,1,0,0,5
